Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW010942,-30.07,149.9,28.01,0.37,1.9639,5.94,6,699,21.43,4,Pill,1,75.2
GW030836,-31.48,148.67,1079.9,0.98,4.3716,5.3,4.81,573,0.45,4,Pill,1,76.2
GW022649,-31.84,149.76,69.5,0.51,0.4206,6,5.83,705,8.38,4,Pill,1,77.7
GW053873,-31.47,150.18,55.31,0.62,-0.1902,6.48,6.33,666,11.45,4,Pill,1,79
GW030935,-32.1,148.63,67.01,0.46,1.7315,5.37,5.11,590,7.63,4,Pill,1,79.2
GW003348,-32.22,148.59,245.1,0.43,1.6942,5.34,5.12,602,2.09,4,Pill,1,81.4
GW005008,-29.1,150.78,34,0.65,0.922,8.37,8.41,734,24.75,4,Pill,1,82.3
GW050911,-32.22,148.71,2279.63,0.44,1.6072,5.43,5.18,606,0.23,4,Pill,1,84
GW007729,-31.94,149.68,355,0.51,0.3921,5.94,5.76,648,1.62,4,Pill,1,84.7
GW053952,-32.03,148.5,147.13,0.47,2.0009,5.24,5.01,574,3.4,4,Pill,1,91.5
GW017306,-29.63,150.19,66.97,0.36,3.352,6.89,6.81,696,10.17,4,Pill,1,95
GW008633,-29.02,150.54,260.1,0.48,1.4312,7.74,7.85,689,3.02,4,Pill,1,99.3
GW050339,-31.83,149.74,305,0.51,0.4206,6,5.83,676,1.91,4,Pill,1,0
GW050571,-32.25,148.55,200,0.41,1.7261,5.3,5.11,601,2.55,4,Pill,1,0
GW056709,-33.57,150.9,1550,3.68,-0.1371,40.51,36.4,875,2.35,3,WPG,2,27.5
GW010334,-31.22,150.03,40.1,0.51,0.0959,5.94,6.04,681,15.06,6,WPG,2,31.7
GW055442,-31.31,150.18,209.2,0.59,-0.2266,6.22,6.29,660,3.01,6,WPG,2,36.6
GW013557,-31.36,150.12,39,0.55,-0.041,6.19,6.14,653,15.74,6,WPG,2,58.5
GW013571,-31.33,150.09,87.2,0.55,-0.041,6.19,6.14,644,7.04,6,WPG,2,91.4
GW047076,-34.58,150.33,78.59,1.85,0.036,14.11,12.95,1134,16.48,3,WPG,3,89.9
GW037098,-34.53,150.41,15.43,1.98,-0.0176,15.4,14.05,1047,91.07,3,WPG,2,0
GW052490,-34.44,150.48,56.91,2.28,-0.1482,19.57,17.74,1034,31.17,3,WPG,2,38
GW060199,-34.54,150.31,137.03,1.68,0.1234,12.2,11.13,958,8.12,3,WPG,2,37
GW037422,-34.59,150.46,23.93,2.11,-0.0614,17.54,16.18,1263,67.6,3,WPG,4,89.9
GW037960,-34.59,150.25,118.4,1.57,0.1543,11.53,10.61,958,8.96,3,WPG,2,94.4
GW047480,-33.58,150.66,346.72,3.27,-0.2827,21.64,17.76,1082,5.12,3,WPG,3,56.5
GW037424,-31.35,149.38,217.61,0.68,2.4642,5.74,5.36,743,2.46,3,WPG,5,15.5
GW030165,-31.8,148.83,215.29,0.62,2.3582,5.42,5.06,591,2.35,3,WPG,4,45.7
GW021416,-31.55,149.38,169.33,0.53,1.8851,5.61,5.35,631,3.16,3,WPG,3,15.2
GW016479,-34.5,150.38,384.85,2,-0.0328,15.33,13.87,969,3.61,3,WPG,2,33.5
GW030245,-31.81,149.02,117.7,0.59,2.0745,5.54,5.17,620,4.39,3,WPG,7,43.6
GW027315,-31.37,149.5,192.33,0.59,2.0671,5.77,5.46,737,2.84,6,WPG,4,44.2
GW030220,-31.8,149.1,63.37,0.56,1.8996,5.6,5.24,616,8.27,3,WPG,4,18.3
GW036037,-31.81,149.09,80.6,0.56,1.8996,5.6,5.24,616,6.5,3,WPG,3,18
GW015703,-34.53,150.38,365.77,1.98,-0.0176,15.4,14.05,1028,3.84,3,WPG,2,42.6
GW047330,-34.12,150.54,158.76,2.52,-0.2488,19.13,16.48,978,10.38,3,WPG,2,46
GW047153,-33.58,150.68,559.09,3.38,-0.3449,24.13,20.1,1000,3.59,3,WPG,2,88
GW034742,-34.54,150.33,1181.08,1.83,0.0514,13.65,12.44,1006,1.05,3,WPG,2,76.2
GW047357,-33.54,150.85,1030.27,3.59,-0.2964,35.63,31.36,909,3.04,3,WPG,2,53.3
GW025996,-31.5,150.46,480.94,0.79,-0.2773,7,6.82,629,1.42,6,WPG,8,29.6
GW053989,-33.72,151.12,1590,3.79,0.0541,49.23,46.26,1323,2.91,3,WPG,3,92
GW026569,-31.54,149.45,2703.82,0.51,1.8399,5.59,5.39,645,0.2,3,WPG,4,32
GW060778,-34.09,150.62,208.67,2.62,-0.2842,21.22,18.45,943,8.84,3,WPG,3,40
