# depth (m),temp,temp_corrected
10,17.03,17.019698
25,16.53,16.504257
50,15.1,15.048593
60,15.15,15.088367
70,15.23,15.158172
80,15.33,15.248011
90,15.45,15.357891
100,15.6,15.497816
110,15.74,15.627791
120,15.92,15.797821
130,16.07,15.93791
140,16.28,16.138064
150,16.54,16.388286
160,16.71,16.548582
170,16.99,16.818957
180,17.14,16.959414
190,17.4,17.209959
200,17.5,17.300595
201.73,17.57,17.368984
