# depth (m),temp,temp_corrected
100,24,23.897816
200,28.5,28.300595
300,31.2,30.912894
400,35.4,35.038509
500,39,38.5802
600,41.2,40.739532
700,44,43.516844
800,47.5,47.011328
900,50.5,50.021216
1017.1,53.61,53.159016
