# depth (m),temp,temp_corrected
10,16.97,16.959698
25,16.98,16.954257
50,16.92,16.868593
55,17.08,17.023477
60,17.08,17.018367
65,17.11,17.043265
70,17.16,17.088172
75,17.21,17.133087
80,17.26,17.178011
