# depth (m),temp,temp_corrected
10,14.224,14.213698
25,14.51,14.484257
50,15.181,15.129593
60,15.504,15.442367
70,15.812,15.740172
80,16.206,16.124011
85,16.354,16.266946
88.15,16.433,16.34276
