# depth (m),temp,temp_corrected
10,27.559,27.548698
25,23.946,23.920257
50,18.345,18.293593
60,18.406,18.344367
70,18.47,18.398172
80,18.551,18.469011
90,18.646,18.553891
100,18.758,18.655816
110,18.862,18.749791
120,18.995,18.872821
130,19.112,18.97991
140,19.315,19.173064
150,19.475,19.323286
160,19.634,19.472582
170,19.82,19.648957
180,19.967,19.786414
190,20.104,19.913959
200,20.226,20.026595
200.76,20.234,20.033887
