# depth (m),temp,temp_corrected
10,22.33,22.319698
25,16.45,16.424257
50,16.86,16.808593
60,16.87,16.808367
70,17.07,16.998172
80,17.15,17.068011
90,17.22,17.127891
100,17.32,17.217816
105,17.36,17.252797
108.99,17.41,17.298801
