# depth (m),temp,temp_corrected
10,17.702,17.691698
25,16.122,16.096257
50,16.197,16.145593
60,16.291,16.229367
70,16.425,16.353172
80,16.579,16.497011
90,16.751,16.658891
100,16.948,16.845816
110,17.138,17.025791
120,17.347,17.224821
130,17.56,17.42791
133.5,17.624,17.488456
