# depth (m),temp,temp_corrected
10,15.74,15.729698
25,15.77,15.744257
50,15.9,15.848593
60,15.85,15.788367
70,15.99,15.918172
80,16.39,16.308011
90,16.81,16.717891
100,17.29,17.187816
110,17.77,17.657791
120,17.83,17.707821
130,17.86,17.72791
140,17.88,17.738064
150,17.9,17.748286
160,17.92,17.758582
170,17.97,17.798957
180,18,17.819414
190,18.07,17.879959
