# depth (m),temp,temp_corrected
10,16.61,16.599698
25,14.87,14.844257
50,15.17,15.118593
60,15.32,15.258367
70,15.49,15.418172
80,15.61,15.528011
90,15.75,15.657891
100,15.91,15.807816
107.2,15.93,15.820593
