# depth (m),temp,temp_corrected
100,25.6,25.497816
200,29.9,29.700595
300,33.7,33.412894
400,38,37.638509
500,43.3,42.8802
554.5,45.8,45.355799
600,47.6,47.139532
700,51.2,50.716844
800,55.4,54.911328
848,57,56.514291
