# depth (m),temp,temp_corrected
101.3,20.77,20.66651
202,22.5,22.298733
302,24.47,24.181265
402,26.65,26.287178
502,28.49,28.06921
602,30.63,30.168903
702,34.61,34.12657
802.8,39.4,38.911405
