# depth (m),temp,temp_corrected
10.01,10.65,10.639688
25,12.359,12.333257
50,16.047,15.995593
60,16.093,16.031367
70,16.239,16.167172
80,16.353,16.271011
90,16.502,16.409891
100,16.653,16.550816
110,16.808,16.695791
113.36,16.833,16.717435
