# depth (m),temp,temp_corrected
32.9184,17.4827,17.448816
33.0708,17.4908,17.456759
33.2232,17.4991,17.464903
33.3756,17.5076,17.473246
33.528,17.5158,17.48129
33.6804,17.5237,17.489033
33.8328,17.532,17.497176
33.9852,17.5402,17.50522
34.1376,17.5489,17.513763
34.29,17.5579,17.522607
34.4424,17.5673,17.53185
34.5948,17.5757,17.540094
34.7472,17.5839,17.548137
34.8996,17.5926,17.556681
35.052,17.6019,17.565824
35.2044,17.6095,17.573268
35.3568,17.618,17.581611
35.5092,17.6267,17.590154
35.6616,17.6358,17.599098
35.814,17.6436,17.606741
35.9664,17.6511,17.614085
36.1188,17.6584,17.621228
36.2712,17.6673,17.629972
36.4236,17.6763,17.638815
36.576,17.6846,17.646959
36.7284,17.6924,17.654602
36.8808,17.7004,17.662446
37.0332,17.7094,17.671289
37.1856,17.7184,17.680133
37.338,17.7283,17.689876
37.4904,17.7369,17.69832
37.6428,17.7451,17.706364
37.7952,17.7529,17.714007
37.9476,17.7615,17.722451
38.1,17.7705,17.731294
38.2524,17.7794,17.740038
38.4048,17.7884,17.748881
38.5572,17.7974,17.757725
38.7096,17.8067,17.766868
38.862,17.8151,17.775112
39.0144,17.8226,17.782456
39.1668,17.8286,17.788299
39.3192,17.8338,17.793343
39.4716,17.8384,17.797786
39.624,17.8412,17.80043
39.7764,17.8449,17.803974
39.9288,17.8469,17.805817
40.0812,17.8486,17.807361
40.2336,17.8487,17.807304
40.386,17.8487,17.807148
40.5384,17.8489,17.807192
40.6908,17.8508,17.808935
40.8432,17.8537,17.811679
40.9956,17.8564,17.814222
41.148,17.8598,17.817466
41.3004,17.863,17.82051
41.4528,17.8664,17.823753
41.6052,17.8688,17.825997
41.7576,17.8715,17.828541
41.91,17.8748,17.831684
42.0624,17.8786,17.835328
42.2148,17.883,17.839572
42.3672,17.8872,17.843615
42.5196,17.8911,17.847359
42.672,17.8951,17.851203
42.8244,17.8994,17.855346
42.9768,17.9042,17.85999
43.1292,17.9092,17.864834
43.2816,17.9151,17.870578
43.434,17.922,17.877321
43.5864,17.9292,17.884365
43.7388,17.9363,17.891309
43.8912,17.9441,17.898952
44.0436,17.9541,17.908796
44.196,17.9678,17.92234
44.3484,17.9835,17.937884
44.5008,18.0024,17.956627
44.6532,18.0321,17.986171
44.8056,18.0667,18.020615
44.958,18.1027,18.056459
45.1104,18.1366,18.090203
45.2628,18.1725,18.125946
45.4152,18.213,18.16629
45.5676,18.2536,18.206734
45.72,18.2925,18.245478
45.8724,18.3301,18.282921
46.0248,18.3636,18.316265
46.1772,18.3925,18.345009
46.3296,18.4163,18.368653
46.482,18.4373,18.389497
46.6344,18.4562,18.408241
46.7868,18.4741,18.425984
46.9392,18.4914,18.443128
47.0916,18.5084,18.459972
47.244,18.5249,18.476316
47.3964,18.5413,18.49256
47.5488,18.5597,18.510804
47.7012,18.5788,18.529747
47.8536,18.5983,18.549091
48.006,18.615,18.565635
48.1584,18.6299,18.580379
48.3108,18.642,18.592323
48.4632,18.6511,18.601267
48.6156,18.6574,18.607411
48.768,18.664,18.613855
48.9204,18.6723,18.621999
49.0728,18.6818,18.631342
49.2252,18.6919,18.641286
49.3776,18.7016,18.65083
49.53,18.7106,18.659674
49.6824,18.7176,18.666518
49.8348,18.7223,18.671062
49.9872,18.7258,18.674406
50.1396,18.7294,18.67785
50.292,18.7341,18.682394
50.4444,18.7392,18.687338
50.5968,18.7432,18.691182
50.7492,18.7455,18.693326
50.9016,18.7453,18.69297
51.054,18.7425,18.690014
51.2064,18.7396,18.686958
51.3588,18.7362,18.683402
51.5112,18.7335,18.680546
51.6636,18.7326,18.67949
51.816,18.7336,18.680334
51.9684,18.7371,18.683678
52.1208,18.742,18.688422
52.2732,18.7481,18.694366
52.4256,18.7546,18.70071
52.578,18.7611,18.707054
52.7304,18.7667,18.712498
52.8828,18.7708,18.716442
53.0352,18.7739,18.719386
53.1876,18.7774,18.72273
53.34,18.7823,18.727475
53.4924,18.7866,18.731619
53.6448,18.79,18.734863
53.7972,18.7916,18.736307
53.9496,18.7923,18.736851
54.102,18.7917,18.736095
54.2544,18.7902,18.734439
54.4068,18.7894,18.733483
54.5592,18.7893,18.733227
54.7116,18.7889,18.732672
54.864,18.7865,18.730116
55.0164,18.7834,18.72686
55.1688,18.7793,18.722604
55.3212,18.7764,18.719548
55.4736,18.7756,18.718592
55.626,18.7775,18.720337
55.7784,18.7822,18.724881
55.9308,18.7891,18.731625
56.0832,18.7985,18.740869
56.2356,18.8066,18.748813
56.388,18.8147,18.756758
56.5404,18.8298,18.771702
56.6928,18.8601,18.801846
56.8452,18.9087,18.85029
56.9976,18.9708,18.912234
57.15,19.0391,18.980379
57.3024,19.1096,19.050723
57.4548,19.1792,19.120167
57.6072,19.2454,19.186211
57.7596,19.3063,19.246956
57.912,19.3618,19.3023
58.0644,19.413,19.353344
58.2168,19.4599,19.400089
58.3692,19.5037,19.443733
58.5216,19.5435,19.483377
58.674,19.58,19.519721
58.8264,19.6121,19.551666
58.9788,19.6401,19.57951
59.1312,19.6636,19.602854
59.2836,19.6837,19.622799
59.436,19.7008,19.639743
59.5884,19.7138,19.652588
59.7408,19.7272,19.665832
59.8932,19.7403,19.678776
60.0456,19.7523,19.690621
60.198,19.7655,19.703665
60.3504,19.7757,19.713709
60.5028,19.7832,19.721054
60.6552,19.7926,19.730298
60.8076,19.8014,19.738943
60.96,19.8107,19.748087
61.1124,19.8195,19.756731
61.2648,19.8272,19.764276
61.4172,19.8318,19.76872
61.5696,19.8359,19.772665
61.722,19.8385,19.775109
61.8744,19.8433,19.779754
62.0268,19.849,19.785298
62.1792,19.8567,19.792843
62.3316,19.8637,19.799687
62.484,19.8702,19.806032
62.6364,19.8769,19.812576
62.7888,19.8842,19.819721
62.9412,19.8917,19.827065
63.0936,19.899,19.83421
63.246,19.9062,19.841254
63.3984,19.9124,19.847299
63.5508,19.9186,19.853343
63.7032,19.9239,19.858488
63.8556,19.9304,19.864832
64.008,19.9373,19.871577
64.1604,19.9441,19.878221
64.3128,19.9502,19.884166
64.4652,19.9575,19.891311
64.6176,19.9638,19.897455
64.77,19.969,19.9025
64.9224,19.9745,19.907844
65.0748,19.9799,19.913089
65.2272,19.9858,19.918834
65.3796,19.9909,19.923778
65.532,19.9958,19.928523
65.6844,19.9997,19.932268
65.8368,20.0031,19.935512
65.9892,20.0069,19.939157
66.1416,20.0114,19.943502
66.294,20.0167,19.948646
66.4464,20.0216,19.953391
66.5988,20.0269,19.958536
66.7512,20.0321,19.96358
66.9036,20.0373,19.968625
67.056,20.0411,19.97227
67.2084,20.0445,19.975514
67.3608,20.0475,19.978359
67.5132,20.0503,19.981004
67.6656,20.0539,19.984449
67.818,20.058,19.988393
67.9704,20.0626,19.992838
68.1228,20.0668,19.996883
68.2752,20.0712,20.001128
68.4276,20.0756,20.005373
68.58,20.079,20.008617
68.7324,20.0824,20.011862
68.8848,20.0853,20.014607
69.0372,20.0892,20.018352
69.1896,20.0935,20.022497
69.342,20.0978,20.026641
69.4944,20.1017,20.030386
69.6468,20.1053,20.033831
69.7992,20.1098,20.038176
69.9516,20.1137,20.041921
70.104,20.118,20.046066
70.2564,20.1214,20.049311
70.4088,20.1253,20.053056
70.5612,20.1307,20.0583
70.7136,20.1367,20.064145
70.866,20.1435,20.07079
71.0184,20.1495,20.076635
71.1708,20.1553,20.08228
71.3232,20.1607,20.087525
71.4756,20.165,20.09167
71.628,20.1695,20.096015
71.7804,20.1741,20.10046
71.9328,20.1779,20.104105
72.0852,20.1818,20.10785
72.2376,20.1856,20.111495
72.39,20.19,20.11574
72.5424,20.1942,20.119785
72.6948,20.1989,20.12433
72.8472,20.2043,20.129575
72.9996,20.2088,20.13392
