# depth (m),temp,temp_corrected
10,24.73,24.719698
25,22.16,22.134257
50,19.92,19.868593
60,15.02,14.958367
70,15.11,15.038172
80,15.21,15.128011
90,15.34,15.247891
100,15.48,15.377816
110,15.6,15.487791
120,15.78,15.657821
130,15.97,15.83791
140,16.16,16.018064
150,16.27,16.118286
160,16.39,16.228582
170,16.55,16.378957
171.05,16.57,16.397951
