# depth (m),temp,temp_corrected
40,19.628,19.586844
50,19.432,19.380593
60,19.423,19.361367
70,19.429,19.357172
80,19.439,19.357011
90,19.46,19.367891
100,19.5,19.397816
110,19.546,19.433791
120,19.607,19.484821
130,19.681,19.54891
140,19.767,19.625064
150,19.868,19.716286
160,19.982,19.820582
170,20.102,19.930957
180,20.25,20.069414
190,20.419,20.228959
200,20.554,20.354595
210,20.7,20.491327
220,20.853,20.635159
220.26,20.858,20.639922
