# depth (m),temp,temp_corrected
10,14.16,14.149698
25,14.19,14.164257
50,14.55,14.498593
60,14.76,14.698367
70,15,14.928172
80,15.24,15.158011
90,15.47,15.377891
91.39,15.48,15.386488
