Easting,Northing,RL
599204.839,6021038.14,268.0000003
603714.336,6020986.151,652.9999996
608223.857,6020931.851,720.0000005
612733.404,6020875.239,716
617242.978,6020816.315,825.0000007
621752.58,6020755.079,1309
626262.212,6020691.531,1435
630771.873,6020625.67,1292
635281.565,6020557.498,1539
639791.29,6020487.013,1318
644301.048,6020414.215,1054.000001
648810.841,6020339.104,1219
653320.669,6020261.681,1108.999999
657830.533,6020181.944,1067.999999
662340.435,6020099.894,990.0000001
666850.376,6020015.53,938.0000002
671360.357,6019928.852,1029
675870.379,6019839.861,1034
680380.443,6019748.555,963.0000002
684890.549,6019654.936,1231.999998
689400.7,6019559.001,741.0000007
693910.896,6019460.752,623.9999996
698421.138,6019360.188,713.9999996
702931.427,6019257.308,719.9999994
707441.765,6019152.113,973.0000004
711952.152,6019044.603,892.9999981
716462.59,6018934.776,955.9999994
720973.08,6018822.633,1113.000001
725483.622,6018708.174,1177.000001
729994.218,6018591.398,1135.79307
734504.868,6018472.306,1054.211015
739015.575,6018350.896,957.1734195
743526.338,6018227.168,858.8841762
748037.16,6018101.123,768.9301381
752548.04,6017972.759,708.852381
757058.981,6017842.078,675.4618212
761569.983,6017709.077,654.5193871
766081.047,6017573.758,641.7296405
770592.175,6017436.12,630.1803812
775103.367,6017296.162,622.6564783
779614.624,6017153.884,616.5773844
784125.948,6017009.285,609.0169227
788637.34,6016862.367,596.2265157
793148.801,6016713.127,563.8918717
797660.331,6016561.567,522.6150566
802171.932,6016407.684,490.2993127
806683.605,6016251.48,415.5886628
811195.351,6016092.954,183.1012472
815707.171,6015932.105,-60.4969798
820219.066,6015768.933,-499.6602696
824731.037,6015603.438,-746.2599339
829243.086,6015435.619,-942.3653471
833755.213,6015265.476,-1128.640923
838267.419,6015093.009,-1318.604632
842779.705,6014918.216,-1534.320348
847292.073,6014741.099,-2818.219544
851804.524,6014561.656,-3125.518254
856317.058,6014379.887,-3344.497157
860829.677,6014195.791,-3534.17886
865342.381,6014009.369,-3737.032241
869855.173,6013820.619,-4446.885909
874368.052,6013629.541,-4423.74271
878881.02,6013436.136,-4581.745823
883394.078,6013240.402,-4804.342872
887907.228,6013042.339,-5024.671824
892420.469,6012841.946,-5212.557761
896933.803,6012639.223,-5398.050345
901447.232,6012434.17,-5658.541874
905960.756,6012226.787,-5871.459839
910474.376,6012017.071,-6053.69023
914988.094,6011805.025,-6244.12796
919501.91,6011590.645,-6433.090152
924015.825,6011373.934,-6629.028549
928529.841,6011154.888,-6842.551658
933043.959,6010933.51,-6999.261242
937558.179,6010709.797,-7185.856293
942072.503,6010483.749,-7347.045064
946586.932,6010255.366,-7506.115128
951101.467,6010024.647,-7626.96594
955616.108,6009791.592,-7706.035658
960130.858,6009556.2,-7746.09743
964645.716,6009318.471,-7784.096139
969160.685,6009078.404,-7827.814836
973675.764,6008835.998,-7847.28113
978190.956,6008591.254,-7889.3019
982706.261,6008344.17,-7886.534073
987221.68,6008094.746,-7894.105138
991737.214,6007842.981,-7900.882089
996252.865,6007588.875,-7894.306941
