# eastings,northings,RL
507820.287,5998330.861,276.957
512857.434,5998330.861,415.401
517894.581,5998330.861,469.662
522931.728,5998330.861,348.444
527968.875,5998330.861,711.808
533006.022,5998330.861,407.458
538043.169,5998330.861,588.889
543080.316,5998330.861,642.484
548117.463,5998330.861,799.101
553154.610,5998330.861,671.882
558191.757,5998330.861,540.814
563228.904,5998330.861,766.382
568266.051,5998330.861,458.910
573303.198,5998330.861,325.416
578340.345,5998330.861,778.752
583377.492,5998330.861,269.587
588414.639,5998330.861,437.607
593451.786,5998330.861,271.293
598488.932,5998330.861,573.787
603526.079,5998330.861,603.323
608563.226,5998330.861,1242.554
613600.373,5998330.861,1562.066
618637.520,5998330.861,1536.827
623674.667,5998330.861,1737.108
628711.814,5998330.861,1731.150
633748.961,5998330.861,1480.045
638786.108,5998330.861,1449.098
643823.255,5998330.861,1300.833
648860.402,5998330.861,1258.965
653897.549,5998330.861,1275.987
658934.696,5998330.861,1153.892
663971.843,5998330.861,1164.118
669008.990,5998330.861,1229.955
674046.137,5998330.861,1161.779
679083.284,5998330.861,876.218
684120.431,5998330.861,947.861
689157.578,5998330.861,831.260
694194.725,5998330.861,813.865
699231.871,5998330.861,778.712
704269.018,5998330.861,742.969
709306.165,5998330.861,861.904
714343.312,5998330.861,970.726
719380.459,5998330.861,907.943
724417.606,5998330.861,983.876
729454.753,5998330.861,954.636
734491.900,5998330.861,339.116
739529.047,5998330.861,315.523
744566.194,5998330.861,299.118
749603.341,5998330.861,328.460
754640.488,5998330.861,340.421
759677.635,5998330.861,131.049
764714.782,5998330.861,173.013
769751.929,5998330.861,23.991
774789.076,5998330.861,91.477
779826.223,5998330.861,32.791
784863.370,5998330.861,-40.537
789900.517,5998330.861,-97.911
794937.663,5998330.861,-119.021
799974.810,5998330.861,-112.039
805011.957,5998330.861,-134.484
810049.104,5998330.861,-444.762
815086.251,5998330.861,-1204.777
820123.398,5998330.861,-1711.606
825160.545,5998330.861,-2037.359
830197.692,5998330.861,-2853.389
835234.839,5998330.861,-3142.816
840271.986,5998330.861,-3734.584
845309.133,5998330.861,-4643.143
850346.280,5998330.861,-4859.516
855383.427,5998330.861,-4897.948
860420.574,5998330.861,-4751.074
865457.721,5998330.861,-4702.277
870494.868,5998330.861,-4786.675
875532.015,5998330.861,-4823.654
880569.162,5998330.861,-4840.000
885606.309,5998330.861,-4802.422
890643.456,5998330.861,-4672.012
895680.602,5998330.861,-4814.487
900717.749,5998330.861,-4836.143
905754.896,5998330.861,-4835.179
910792.043,5998330.861,-4821.074
915829.190,5998330.861,-4828.998
920866.337,5998330.861,-4834.117
925903.484,5998330.861,-4765.865
930940.631,5998330.861,-4842.003
935977.778,5998330.861,-4871.542
941014.925,5998330.861,-4872.308
946052.072,5998330.861,-4862.172
951089.219,5998330.861,-4918.802
956126.366,5998330.861,-4905.565
961163.513,5998330.861,-4932.045
966200.660,5998330.861,-4841.373
971237.807,5998330.861,-4742.578
976274.954,5998330.861,-4748.182
981312.101,5998330.861,-4829.681
986349.248,5998330.861,-4882.187
991386.394,5998330.861,-4861.606
996423.541,5998330.861,-4802.095
1001460.688,5998330.861,-4840.792
1006497.835,5998330.861,-4882.290
1011534.982,5998330.861,-4840.727
1016572.129,5998330.861,-4845.468
1021609.276,5998330.861,-4857.839
1026646.423,5998330.861,-4873.408
1031683.570,5998330.861,-4830.755
1036720.717,5998330.861,-4765.855
1041757.864,5998330.861,-4749.960
1046795.011,5998330.861,-4735.795
1051832.158,5998330.861,-4716.661
1056869.305,5998330.861,-4766.124
1061906.452,5998330.861,-4739.015
1066943.599,5998330.861,-4632.257
1071980.746,5998330.861,-4678.451
1077017.893,5998330.861,-4756.773
1082055.040,5998330.861,-4728.496
1087092.187,5998330.861,-4666.651
1092129.333,5998330.861,-4683.761
1097166.480,5998330.861,-4782.445
1102203.627,5998330.861,-4780.882
1107240.774,5998330.861,-4778.734
1112277.921,5998330.861,-4707.382
1117315.068,5998330.861,-4634.033
1122352.215,5998330.861,-4660.417
1127389.362,5998330.861,-4673.061
1132426.509,5998330.861,-4660.141
1137463.656,5998330.861,-4694.928
1142500.803,5998330.861,-4715.547
1147537.950,5998330.861,-4609.160
1152575.097,5998330.861,-4562.216
1157612.244,5998330.861,-4606.487
1162649.391,5998330.861,-4659.198
1167686.538,5998330.861,-4687.890
1172723.685,5998330.861,-4699.488
1177760.832,5998330.861,-4792.334
1182797.979,5998330.861,-4849.895
1187835.126,5998330.861,-4692.740
1192872.272,5998330.861,-4607.218
1197909.419,5998330.861,-4683.405
1202946.566,5998330.861,-4632.822
1207983.713,5998330.861,-4451.395
1213020.860,5998330.861,-4409.330
1218058.007,5998330.861,-4718.067
1223095.154,5998330.861,-5044.499
1228132.301,5998330.861,-3907.873
1233169.448,5998330.861,-4435.249
1238206.595,5998330.861,-4530.392
447374.524,6003346.275,154.888
452411.671,6003346.275,167.154
457448.818,6003346.275,182.088
462485.965,6003346.275,231.269
467523.112,6003346.275,205.089
472560.259,6003346.275,207.755
477597.406,6003346.275,303.010
482634.553,6003346.275,306.118
487671.700,6003346.275,163.717
492708.847,6003346.275,161.299
497745.993,6003346.275,156.754
502783.140,6003346.275,179.456
507820.287,6003346.275,397.058
512857.434,6003346.275,309.355
517894.581,6003346.275,550.445
522931.728,6003346.275,717.734
527968.875,6003346.275,271.584
533006.022,6003346.275,622.018
538043.169,6003346.275,776.839
543080.316,6003346.275,565.521
548117.463,6003346.275,563.466
553154.610,6003346.275,795.028
558191.757,6003346.275,580.279
563228.904,6003346.275,967.154
568266.051,6003346.275,809.485
573303.198,6003346.275,382.170
578340.345,6003346.275,495.404
583377.492,6003346.275,635.188
588414.639,6003346.275,247.145
593451.786,6003346.275,367.313
598488.932,6003346.275,385.293
603526.079,6003346.275,776.335
608563.226,6003346.275,1438.740
613600.373,6003346.275,1291.011
618637.520,6003346.275,1484.973
623674.667,6003346.275,1516.383
628711.814,6003346.275,1565.333
633748.961,6003346.275,1606.251
638786.108,6003346.275,1633.629
643823.255,6003346.275,1220.735
648860.402,6003346.275,1174.016
653897.549,6003346.275,1154.000
658934.696,6003346.275,1169.565
663971.843,6003346.275,1264.281
669008.990,6003346.275,1156.621
674046.137,6003346.275,1164.137
679083.284,6003346.275,972.994
684120.431,6003346.275,1007.396
689157.578,6003346.275,1013.460
694194.725,6003346.275,710.267
699231.871,6003346.275,794.150
704269.018,6003346.275,849.009
709306.165,6003346.275,1007.557
714343.312,6003346.275,1060.000
719380.459,6003346.275,1097.438
